model,repeat,swapped,winner,confidence,reasoning,experiment,tid,condition,tkg_len,imp_len
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest in the recipient's specific work and proposes a mutually beneficial collaboration, whereas Email 2 is a generic request for reviewer",hookcat,per-027,temporal,113,113
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, collaborators, and conference appearances, making the outreach feel personalized and flatteri",hookcat,per-027,temporal,113,113
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message by referencing the recipient's specific work and achievements, demonstrating genuine interest and proposing a collaborative opportunity, ",hookcat,per-027,temporal,113,113
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references the recipient's specific work and achievements, and proposes a collaborative opportunity that directly aligns with their expertise, ma",hookcat,per-027,temporal,113,113
claude-sonnet-4-6,2,True,A,5,"Email 2 is far more persuasive because it demonstrates specific, personalized knowledge of the recipient's work, publications, and collaborators, making the outreach feel genuine and targeted rather t",hookcat,per-027,temporal,113,113
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and proposes a specific collaborative opportunity, whereas Email 2 is a generic call for revi",hookcat,per-027,temporal,113,113
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine interest in the recipient's specific work and proposes a collaborative opportunity, whereas Email 2 is a generic call for reviewers that lack",hookcat,per-027,temporal,113,113
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates genuine familiarity with the recipient's specific work, collaborators, and conference appearances, making the outreach feel personalized and credible",hookcat,per-027,temporal,113,113
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and expresses genuine interest in collaboration, which is more engaging than the generic invi",hookcat,per-027,static,136,136
deepseek-chat,1,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity for the recipient to contribute their expertise as a mentor, which is more likely to engage a senior researcher than a gene",hookcat,per-027,static,136,136
claude-sonnet-4-6,1,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and achievements, which builds credibility and rapport, whereas Email 2 is a generic, impers",hookcat,per-027,static,136,136
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements, and clearly expresses interest in collaboration, making it more engaging and compelling than ",hookcat,per-027,static,136,136
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it personalizes the request by referencing the recipient's specific achievements and work, demonstrating genuine interest and respect, which builds rapport and incre",hookcat,per-027,static,136,136
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it is personalized with specific details about the recipient's achievements and work, which demonstrates genuine interest and flattery, making the recipient more lik",hookcat,per-027,static,136,136
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it personalizes the message by acknowledging the recipient's recent achievements and specific work, which is more likely to engage the recipient and motivate a respo",hookcat,per-027,static,136,136
deepseek-chat,3,False,B,4,"Email 2 is more persuasive because it offers a clear, actionable opportunity for the recipient to contribute their expertise in a meaningful way, whereas Email 1 is a general request for collaboration",hookcat,per-027,static,136,136
claude-sonnet-4-6,3,False,A,3,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and achievements, which builds credibility and rapport, whereas Email 2 is generic and addre",hookcat,per-027,static,136,136
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific interest in collaboration, whereas Email 2 is a general call",hookcat,per-028,temporal,135,135
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it is personalized, references specific work by the recipient, and directly seeks a collaborative connection, whereas Email 2 is a generic call for submissions that ",hookcat,per-028,temporal,135,135
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and makes a direct, targeted request for collaboration, whereas Email 2 is a generic mass an",hookcat,per-028,temporal,135,135
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific collaborative interest, making it more engaging and compelli",hookcat,per-028,temporal,135,135
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, references specific work by the recipient, and directly appeals to collaboration, making it more engaging and likely to elicit a positive respons",hookcat,per-028,temporal,135,135
claude-sonnet-4-6,2,True,A,4,"Email 2 is more persuasive because it demonstrates personalized knowledge of the recipient's specific work, creating a sense of genuine interest and relevance, whereas Email 1 is a generic mass announ",hookcat,per-028,temporal,135,135
gpt-4.1-mini,3,False,A,4,"Email 1 is more persuasive because it is personalized, demonstrates familiarity with the recipient's work, and clearly expresses a specific collaborative intent, whereas Email 2 is a general call for ",hookcat,per-028,temporal,135,135
deepseek-chat,3,False,A,4,"Email 1 is more persuasive because it is personalized, references the recipient's specific work, and directly seeks a collaborative connection, whereas Email 2 is a generic call for submissions that l",hookcat,per-028,temporal,135,135
claude-sonnet-4-6,3,False,A,4,"Email 1 is more persuasive because it demonstrates specific, personalized knowledge of the recipient's work and makes a direct, targeted request for collaboration, while Email 2 is a generic mass anno",hookcat,per-028,temporal,135,135
gpt-4.1-mini,1,False,A,4,"Email 1 is more persuasive because it is personalized, acknowledges the recipient's achievements, and directly proposes a collaborative meeting, making it more engaging and actionable compared to the ",hookcat,per-028,static,148,148
deepseek-chat,1,False,A,4,"Email 1 is more persuasive because it directly addresses the recipient's achievements and interests, personalizing the request for collaboration, whereas Email 2 is a generic call for submissions that",hookcat,per-028,static,148,148
claude-sonnet-4-6,1,False,A,4,"Email 1 is more persuasive because it uses personalized flattery, specific references to the recipient's achievements and background, and a clear, direct call to action (a meeting or call), making it ",hookcat,per-028,static,148,148
gpt-4.1-mini,2,True,A,4,"Email 2 is more persuasive because it personalizes the message, acknowledges specific achievements, and directly proposes collaboration, making it more engaging and compelling for the recipient.",hookcat,per-028,static,148,148
deepseek-chat,2,True,A,4,"Email 2 is more persuasive because it is personalized, acknowledges the recipient's specific achievements and background, and proposes a concrete collaborative opportunity, which is more likely to eng",hookcat,per-028,static,148,148
